,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,,2014-03-27,,,,"Aardsma, David",446329,430911,walk,ball,,,,,,Taylor Harbin walks.   Matt Angle to 2nd.,S,R,R,STL,MIA,B,,,3,0,2014,,,,,448296.0,,518408.0,1,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,0.7,,0.0,0.0,,61,4,,4,1,1,4,1,4,1,4,,,,-0.07,
1,,2014-03-27,,,,"Aardsma, David",446329,430911,,ball,,,,,,Taylor Harbin walks.   Matt Angle to 2nd.,S,R,R,STL,MIA,B,,,2,0,2014,,,,,448296.0,,518408.0,1,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,,,,,,61,3,,4,1,1,4,1,4,1,4,,,,0.0,
2,,2014-03-27,,,,"Aardsma, David",446329,430911,,ball,,,,,,Taylor Harbin walks.   Matt Angle to 2nd.,S,R,R,STL,MIA,B,,,1,0,2014,,,,,448296.0,,518408.0,1,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,,,,,,61,2,,4,1,1,4,1,4,1,4,,,,0.0,
3,,2014-03-27,,,,"Aardsma, David",446329,430911,,ball,,,,,,Taylor Harbin walks.   Matt Angle to 2nd.,S,R,R,STL,MIA,B,,,0,0,2014,,,,,448296.0,,518408.0,1,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,,,,,,61,1,,4,1,1,4,1,4,1,4,,,,0.0,
4,,2014-03-27,,,,"Aardsma, David",501726,430911,field_out,hit_into_play,,,,,,Juan Diaz flies out to center fielder Jon Jay.   Ed Lucas to 3rd.,S,L,R,STL,MIA,X,8.0,fly_ball,0,0,2014,,,,,,448296.0,518408.0,0,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,0.0,,0.0,0.0,,60,1,,4,1,1,4,1,4,1,4,,,,0.055,
5,,2014-03-27,,,,"Aardsma, David",518408,430911,single,hit_into_play,,,,,,Matt Angle singles on a ground ball to right fielder Stephen Piscotty.   Ed Lucas to 2nd.,S,L,R,STL,MIA,X,9.0,ground_ball,0,0,2014,,,,,,,448296.0,0,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,0.9,,1.0,0.0,,59,1,,4,1,1,4,1,4,1,4,,,,-0.073,
6,,2014-03-27,,,,"Aardsma, David",448296,430911,walk,ball,,,,,,Ed Lucas walks.,S,R,R,STL,MIA,B,,,3,0,2014,,,,,,,,0,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,0.7,,0.0,0.0,,58,4,,4,1,1,4,1,4,1,4,,,,-0.041,
7,,2014-03-27,,,,"Aardsma, David",448296,430911,,ball,,,,,,Ed Lucas walks.,S,R,R,STL,MIA,B,,,2,0,2014,,,,,,,,0,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,,,,,,58,3,,4,1,1,4,1,4,1,4,,,,0.0,
8,,2014-03-27,,,,"Aardsma, David",448296,430911,,ball,,,,,,Ed Lucas walks.,S,R,R,STL,MIA,B,,,1,0,2014,,,,,,,,0,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,,,,,,58,2,,4,1,1,4,1,4,1,4,,,,0.0,
9,,2014-03-27,,,,"Aardsma, David",448296,430911,,ball,,,,,,Ed Lucas walks.,S,R,R,STL,MIA,B,,,0,0,2014,,,,,,,,0,8,Top,,,,,446225,,,,,,,,,,,,,,,,,396516,430911,446225,572088,518614,445599,518902,453203,445055,572039,,,,,,,,,58,1,,4,1,1,4,1,4,1,4,,,,0.0,
10,,2014-03-26,,,,"Aardsma, David",446653,430911,field_out,hit_into_play,,,,,,"Jose Lobaton grounds out softly, second baseman Mark Ellis to first baseman Matt Adams.",S,L,R,STL,WSH,X,4.0,ground_ball,0,0,2014,,,,,150029.0,435622.0,,2,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,0.0,,0.0,0.0,,48,1,,3,0,0,3,0,3,0,3,,,,0.058,
11,,2014-03-26,,,,"Aardsma, David",457787,430911,field_out,hit_into_play,,,,,,Danny Espinosa grounds out to first baseman Matt Adams.   Jayson Werth to 3rd.    Ian Desmond to 2nd.,S,L,R,STL,WSH,X,3.0,ground_ball,0,0,2014,,,,,,150029.0,435622.0,1,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,0.0,,0.0,0.0,,47,1,,3,0,0,3,0,3,0,3,,,,0.034,
12,,2014-03-26,,,,"Aardsma, David",435622,430911,single,hit_into_play,,,,,,Ian Desmond singles on a line drive to left fielder Matt Holliday.   Jayson Werth to 2nd.,S,R,R,STL,WSH,X,7.0,line_drive,0,0,2014,,,,,,,150029.0,1,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,0.9,,1.0,0.0,,46,1,,3,0,0,3,0,3,0,3,,,,-0.042,
